name,city,keywords,description,location,transport,contact,since,timeFromChatelet
LES ARÈNES DE NANTERRE,Nanterre,"Spectacle Vivant, Education",cirque,220 Avenue de la République 92000 Nanterre,RER A : Nanterre- Universitaire,01 47 21 76 56 http://www.nanterre.fr/530-les-arenes-de-nanterre.htm,1974,34mins
LES MARMITES ARTISTIQUES,Nanterre,Spectacle Vivant,Festival pluridisciplinaire organisé par l'association étudiante Hypothemuse,"200 av de la République, bât D, bureau 212b 92000 Nanterre",RER A : Nanterre Université. Bus : Ligne N53,http://lesmarmitesartistiques.wordpress.com/ progmarmites@gmail.com,2005,34mins
NANTERRE SUR SCENE,Nanterre,Spectacle Vivant,Festival,"200 Avenue de la République, 92000 Nanterre",RER A : Nanterre Université,"fest.nanterresurscene@gmail.com<br/>01 40 97 70 00 http://nanterresurscene.u-paris10.fr/",2010,36mins
THEATRE DES AMANDIERS NANTERRE,Nanterre,Spectacle Vivant,Théatre d'envergure métropolitaine,"7, avenue Pablo Picasso 92000 Nanterre","Metro 1 : la defense; RER A : Nanterre Prefecture; BUS 160, 159, 163 et aussi Navette gratitute",01 46 14 70 00 www.nanterre-amandiers.com,1965,35mins
ATELIERS ARTISTES DE NEUILLY,Neuilly-sur- Seine,Arts Visuels,,"167, av Charles de Gaulle, 92200, Neuilly-sur-Seine",,http://www.neuillysurseine.fr/culture dac@ville-neuillysurseine.fr 01 55 62 61 22,,24mins
CAFÉ DE LA JATTE,Neuilly-sur- Seine,Fooding,"A restaurant hidden on the island of Jatte in Neuilly, specializing in fine Italian cuisine.","Ile de la Jatte – 60, bd Vital Bouhot<br/>92200 Neuilly-Sur-Seine",Métro 3 : Pont de Levallois Becon,(Reservations) Carole 01 47 45 04 20 http://cafejatte.com/ reservations@cafejatte.com,1980's,38mins
LA GUINGUETTE,Neuilly-sur- Seine,Fooding,Cuisine Française,"12, boulevard Georges Seurat, Neuilly-sur-Seine",Métro 1 : Pont de Neuilly,01 46 24 25 04 info@laguinguette.net www.la-guinguette-de-neuilly.com,1997,39mins
LE VILLAGE A NEUILLY,Neuilly-sur- Seine,Fooding,A chic brasserie with a marriage between the traditional and modern,"175 avenue Charles de gaulle, 92200 Neuilly-Sur-Seine",Métro 1 : M° Pont de Neuilly,http://villageneuilly.com/,1961,23mins
BALT'ART,Nogent-sur-Marne,Arts Visuels,SALON,"12 avenue Victor Hugo<br/>94130 Nogent sur Marne","RER A : Nogent sur Marne; Ligne 114 Depuis Chateau de Vincennes – Direction Le Raincy-Villemomble-Montfermeil; RER jusqu’à Place du General Leclerc<br/>(10 mn)",http://www.baltart-art.eu/,,
MAISON D'ART BERNARD ANTHONIOZ,Nogent-sur-Marne,Arts Visuels,Lieu d’exposition dédié à la création contemporaine,"16 Rue Charles VII, 94130 Nogent-sur-Marne","RER A : Nogent sur Marne puis bus N°114 ou 210;<br/>RER E : Nogent Le Perreux, 10 minutes à pied direction centre ville  (rue Charles de Gaulle) puis descendre boulevard Gallieni;<br/>Métro 1 : Chateau de Vincennes puis bus N°114 ou 210","01 48 71 90 07<br/>maison-dart-bernard-anthonioz@wanadoo.fr<br/>www.ma-bernardanthonioz.com/",,44mins
DIGITAL MEDIA SOLUTIONS,Noisiel,Innovation,"Digital Media Solutions is specialized in the conception, the manufacturing and the commercialization of 2D and 3D audio solutions, for the cinema, Hi-Fi, V.I.P Home Cinema , Television and Music industries.","45 Grande Allée du 12 Février 1934, 77186 Noisiel",RER E : Noisel,"45 Grande Allée du 12 Février 1934<br/>77186 Noisiel - France Mail : infos@dms-cinema.com<br/>Tel : +33 (0)1 80 81 52 40",,
LA FERME DU BUISSON,Noisiel,"Spectacle Vivant, Musique, Cinema, Arts Visuels","Véritable hub créatif d'envergure métropolitaine proposant un large programme d'exposition d'art contemporain, théâtre, danse, cirque, cinéma, rencontres, résidences, etc.","Scène nationale de Marne-la-Vallée <br/>Allée de la Ferme <br/>77 186 Noisiel",RER E : Noisel,"01 64 62 77 00 <br/>contact@lafermedubuisson.com<br/>www.lafermedubuisson.com",N/A,44MINS
LA GALERIE CENTRE D'ART CONTEMPORAIN DE NOISY-LE SEC,Noisy-le-Sec,Arts Visuels,centre d’art contemporain et lieu de résidence pour des artistes et des commissaires d'exposition étrangers. Membre du réseau Tram,"1 RUE JEAN-JAURÈS <br/>93130 NOISY-LE-SEC",RER E : Noisy le sec,"TEL : +33 (0)1 49 42 67 17<br/>MAIL : LAGALERIE@NOISYLESEC.FR<br/>http://www.noisylesec.net/index.php?id_rub=galerie&id_com=262",,38mins
OPOSITO,Noisy-le-Sec,Spectacle Vivant,"Oposito provokes new encounters, oves weaving new ties, mixing people and genres. It upholds its will to carry on telling cities the stories they have taken the risk to co-write.","53, rue de Merlan<br/>93130 Noisy-le-Sec FRANCE",RER E : Noisy le Sec,http://www.oposito.fr/ (0)1 48 02 80 96,1983,39mins
CENTRE CULTUREL ARAGON-TRIOLET,Orly,"Musique, Cinema, Spectacle Vivant","Le centre culturel propose une programmation éclectique en théâtre, cinéma, danse, musique, variétés et spectacles destinés au jeune public ; une action culturelle forte.","1 Place du Fer à Cheval, 94310 Orly",RER C : Orly Ville,01 48 90 24 20 http://www.centre-culturel-orly.fr/ reservations@centre-culturel-orly.fr,,
INVENTEURS DU MONDE NUMÉRIQUE,Palaiseau,Innovation,A public science and technology institution dedicated to computational sciences and research,"1 rue Honoré d'Estienne d'Orves<br/>Bâtiment Alan Turing<br/>Campus de l'École Polytechnique<br/>91120 Palaiseau","RER B : Massy Palaiseau, puis prendre le bus 91-06 (B ou C)",http://www.inria.fr/,1967,34mins
BANLIEUES BLEUES,Pantin,Musique,"Banlieues Bleues soutient et accompagne la création et la diffusion de concerts de musique vivante et innovante,","9 Rue Gabrielle Josserand, 93500 Pantin",Métro 5 : Aubervilliers - Pantin 4 chemins,http://www.banlieuesbleues.org/,1988,32mins
CENTRE NATIONAL DE LA DANSE PANTIN / ÎLE-DE-FRANCE,Pantin,Spectacle vivant,Le Centre national de la danse s’adresse à l’ensemble des acteurs du secteur chorégraphique du spectacle vivant.,"1, rue Victor-Hugo<br/>93500 Pantin","Métro 5 : Hoche;<br/>RER E : Pantin; Bus 170 et 151 : Centre national de la Danse;<br/>ou Tram T3b : Delphine Seyrig et Ella Fitzgerald - Grands Moulins de Pantin",01 41 83 27 27 http://www.cnd.fr,1998,25mins
FOCUS HOME INTERACTIVE,Pantin,"Innovation, Jeux Video",Editeur de jeux vidéo,"100, avenue du Général Leclerc<br/>93692 Pantin Cedex",RER E- Pantin,"01 48 10 59 69 edition@focus-home.com<br/>http://www.focus-home.com",1996,27mins
HERMES,Pantin,"Design, Métiers d'Arts","Atelier de création de la prestigieuse scellerie, et résidence d'artiste (voir le Petit H)",12 Rue Auger  93500 Pantin,ligne 5; hoche,01 49 42 87 42 www.hermes.com/‎,1992,28mins
LA DYNAMO DE BANLIEUES BLEUES/FESTIVAL UMLAUT : PETER ABLINGER,Pantin,Festival,"A music festival organized by Umlaut records which is based in Paris, Stockholm and Berlin.","La dynamo de banlieues bleues<br/>9 Rue Gabrielle Josserand - 93500 Pantin",Métro 7-: Aubervilliers Pantin (4 chemin),http://93.agendaculturel.fr/festival/festival-umlaut-peter-ablinger.html,2010,31mins
LA MAISON REVEL,Pantin,"Design, Metiers d'art","Provides financial, professional and promotional support to artisans in Pantin and in the Seine-Saint-Denis département, offering advice on management, accounting and business development, plus exhibitions, workshop visits and lectures.","56, av. Jean-Jaurès 93500 Pantin",Métro 7 : Aubervilliers-Pantin-Quatre Chemins,,2008,
LA MENUISERIE,Pantin,"Spectacle vivant, Musique",La Menuiserie est un petit théâtre de poc,77 rue Jules Auffret 93500 Pantin,"Métro 11: Mairie des Lilas; Métro 5 : Église de Pantin;<br/>bus 61 arrêt Jean Jaurès ou bus 249 arrêt les Pommiers;<br/>station vélib au niveau du bus 61 arrêt Jean Jaurès",www.lamenuiserie.org info@lamenuiserie.org,,30mins
LEMON TRI,Pantin,Innovation,Lemon tri est une jeune startup dans le domaine du développement durable. Nous proposons aux entreprises et établissements secondaires un service de tri sélectif innovant et incitatif.,24 rue Davoust 93500 Pantin,"RER E : Pantin; Métro 7 <br/>Station AUBERVILLIERS<br/>PANTIN 4 CHEMINS Tram. T3b<br/>Station ELLA FITZGERALD<br/>Grands Moulins de Pantin",www.lemontri.fr/ info@lemontri.fr 01 48 43 87 37,2010,28mins
STUDIO BRICHETZIEGLER,Pantin,Design,"Seeking to make the exchange and discussion at the center of their research, they created an open space for reflection that allows them to approach projects with a new ambition and poetry",27 avenue Jean Jaurès 93300 Aubervilliers,Aubervilliers-Pantin-Quatre Chemins,http://www.studiobrichetziegler.com/ contact@brichetziegler.com,2010,31mins
THADDAEUS ROPAC,Pantin,Arts Visuels,Galerie d'Art contemporain parisienne et autrichienne ayant investi une ancienne fabrique à Pantin. Artistes d'envergure internationale. Café agréable.,"69, avenue du Général Leclerc 93500 Pantin",RER E- direction Chelles ou Villiers sur Marne Metro station eglise de pantin,www.ropac.net Communications Laura Bertaux laura@ropac.net,,32mins
WORLD TRADE+TECHNOLOGIES,Pantin,"Innovation, Jeux Video",Distributeur de jeux vidéo,"34, rue des Grilles - 93500 Pantin",Line 5- Hoche,http://www.wtt-france.com/,1989,32mins
XANDRIE,Pantin,"Innovation, Jeux Video",Distributeur de jeux vidéo,"5, rue Delizy<br/>93692 Pantin",Line 5- Eglise de Pantin,http://allbrary.fr/,2012,30mins
JAZZ SESSION-LA MEZZANINE,Pierrelaye,Musique,"Un concert gratuit suivi d'une jazz session, tous les jeudis à Pierrelaye","42 bis, rue Victor Hugo 95480 Pierrelaye",RER C et la ligne SNCF Paris-Nord / Pontoise.,06 16 06 09 38  http://jazz-session.org/ jazzsession@sfr.fr,almost 20 years,1h11mins
L'APOSTROPHE- THEATRE DES LOUVRAIS,Pointoise,Spectacle Vivant,Organize the diffusions and artistic confrontation between artistic forms inspiring their contemporary creation.,"Place de la Paix, 95300 Pontoise","RER A Direction Cergy-le-Haut<br/>arrêt en gare de Cergy-Préfecture<br/>prendre le bus n°42 quai B, direction Victor Hugo",01 34 20 14 14  accueil@lapostrophe.net Billetterie  01 34 20 14 14 / Administration  01 34 20 14 25,1960,1h20
CENTRE PHOTOGRAPHIQUE D'ILE DE FRANCE,Pontault-Combault,Arts Visuels,"Intéresse à la recherche, la production et la diffusion de projets artistiques liés à la photographie contemporaine","07 Avenue République  77340 Pontault-<br/>Combault",RER E : Emerainville - Pontault-Combault ; RER A Direction Marne-la-Vallée - Chessy.  Bus : 206,"01 70 05 49 80<br/>contact@cpif.net<br/>http://www.cpif.net/",,53mins
LES SALAISONS,Romainville,Arts Visuels,"les artistes contemporains, pour la création et l'exposition.","25 avenue du Président Wilson <br/>93230 Romainville","Bus 105 depuis Mairie des Lilas<br/>direction Mairie des Pavillons-Sous-Bois<br/>jusqu’à Liberte",www.salaisons.org,,29mins
ECOLE D'ARTS DE RUEIL-MALMAISON SYNAPSE,Rueil-Malmaison,Education,artistic residency with partnership,"3 rue du prince Eugène<br/>92500 rueil-malmaison",RER A- La Défense then the bus 258,http://www.earueil.com/ 01 55 47 14 80 cnap.fr (residency)t. 33 (0)1 55 47 14 80,,52mins
GALERIE MATTHIEU DUBUC,Rueil-Malmaison,Arts Visuels,art contemporain,"10-12 rue du Maréchal Foch<br/>92 500 Rueil Malmaison",RER A Rueil Malmaison,(0)1 47 08 22 16 contact@maisondesmuses.com http://www.maisondesmuses.com/,2008,42mins
PUCE MUSE,Rungis,Innovation,"As a hosting centre, PUCE MUSE welcomes musicians, researchers, composers, and artists interested in M3V. As a place for transmission, PUCE MUSE trains musicians and graphic designers to use the Meta-Mallette, it assists professionals in getting inter-generation groups to perform with music and visuals together.","2, rue des Pyrénées, SILIC 520 / Wissous<br/>94623 Rungis",Rungis - La Fraternelle,01.45.12.04.50 contact@pucemuse.com http://www.pucemuse.com/ http://facebook.com/pucemuse,NA/,44mins
ANIMAKT,Saulx-les-Chartreux,Arts Visuels,Supporting artists by providing them with a space to create.,1 Rue du Lieutenant Emile Fontaine 91160 Saulx-les-Chartreux,RER B Massy-Palaiseau,http://www.animakt.fr/ 01 64 48 71 01 // contact@animakt.fr,1999,
FESTIVAL ORANGERIE,Sceaux,Musique,A summer musical festival created in response to an absence of programmation of musical activities during the summer in Paris.,"8 Avenue Claude Perrault, 92330",RER B - Bourg-la-Reine,http://www.festival-orangerie.fr/ contact@festival-orangerie.fr 01 46 60 00 11,1969,25mins
LES GEMEAUX,Sceaux,Spectacle Vivant,"Les Gémeaux produisent ou coproduisent nombre de spectacles pour la plupart inédits en France ou en région parisienne, beaucoup d’entre eux y sont des créations.Festival Les Rendez-Vous Chorégraphiques.","49, avenue Georges Clemenceau, 92330 Sceaux","RER B, Direction Robinson,<br/>Saint-Rémy-lès-Chevreuse ou Massy-Palaiseau. Station : Bourg-la-Reine.",http://www.lesgemeaux.com/ Administration : 01 46 60 05 64,1994,39mins
FESTIVAL DES RÊVEURS ÉVEILLÉS,Sevran,Arts Visuels,A festival dedicated for children between the ages of 3-6 years old.Showcasing contemproary art made for kids.,"Salle des fêtes, 9 rue Gabriél-Péri",RER B - Sevran-Livry,http://www.ville-sevran.fr/festival-des-reveurs-eveilles-2013,1991,39mins
LA GÉNÉRALE EN MANUFACTURE,Sevres,Arts Visuels,"Communauté artistique qui s'intéresse à l'art et aux études politiques, aux pratiques de la ville et à l'urbanisme, et plus largement aux pratiques critiques, et à la part d'indéfini qui devient une possibilité d'expérimentation.","6, grande rue<br/>Sèvres<br/>92310<br/>France","Métro ligne 9 - Station Pont de Sèvres<br/>Tramway ligne T2 - Arrêt Musée de Sèvres",N/A,2008,44mins
LE SEL SEVRES,Sevres,"Cinema,Spectacle Vivant, Education",A cultural space which provides movie viewings and also live theater and dance performances.,"47 Grande Rue<br/>92310 Sèvres","Métro 9 - Pont de Sèvres.<br/>Bus // 171 ou 26 Traverciel, arrêt Mairie de Sèvres.<br/>Train // Gare Montparnasse, arrêt Sèvres Rive Gauche. <br/>.............Gare Saint Lazare, arrêt de Sèvres - Ville d’Avray<br/>Tram // Val de Seine : arrêt Musée de Sèvres",www.sel-sevres.org 01 41 14 32 32 sel@sel-sevres.org,n/a,40mins
STRATE COLLEGE,Sevres,Education,a private industrial design university,"27 avenue de la division Leclerc, 92310 Sèvres","SNCF Montparnasse : Station : Bellevue<br/>- METRO : line 9, Station : Pont de sèvres<br/>- TRAM : T2, Val de seine- la Défense, station : Musée de Sèvres or Brimborion",www.stratecollege.fr info@stratecollege.fr 0 1 46 42 88 77,1993,49mins
PEPINIERES EUROPEENNES POUR JEUNES ARTISTES,St Cloud,"Arts Visuels, Cinema",The Pépinières program focuses on contemporary artistic movements and is intended for emerging artists in all disciplines.,"BP 80132<br/>Domaine national de Saint-Cloud<br/>92216 St Cloud",,www.art4eu.net/+33 (0)1 41 12 29 33   info@art4eu.net,,34mins
QUAI OUEST,St Cloud,Fooding,A floating restaurant has an open air deck so that you can enjoy sunny weather to the full.,1200 quai Marcel Dassault - Saint-Cloud,(T2 Les Milons) ou RER Issy-Val de Seine,quaiouestrestaurant92@gmail.com http://www.quai-ouest-restaurant.com/ 01 46 02 35 54,1993,44mins
ROCK EN SEINE,St Cloud,Musique,FESTIVAL,Domaine national de Saint-Cloud,"LIGNE 10 : Gare d’Austerlitz / Boulogne – Pont de St Cloud.<br/>Stop : Boulogne – Pont de St-Cloud",contact@rockenseine.com www.rockenseine.com,,34mins<br/>6B,St Denis,"Musique, Arts Visuels, Spectacle Vivant, Innovation, Design","lieu de création<br/>et de diffusion",6 - 10 quai de Seine 93 200 Saint-Denis,RER D-station St.denis Metro ligne 13 Tramway n.1 bus: no 154 et 237,"01 70 06 02 64<br/>info@le6b.org Président / Julien /  julien@le6b.fr Communication / Myriam / communication@le6b.fr",,40mins
BANQUE DU MIEL,St Denis,Innovation,An artistic project which has grown into other parts of Europe. Placing the bee as a new indicator of the richness of its surrounding environment. A project which mixes art with the fabrication of honey.,"25, rue Roland Vachette<br/>93200 - SAINT-DENIS",Line 13-St.Denis Porte de Paris,"www.banquedumiel.org  01 42 35 84 34<br/>E-mail > contact@banquedumiel.org",2009,42mins
CAFÉ CULTUREL,St Denis,Spectacle Vivant,Structure entièrement tournée vers la création et la promotion des cultures urbaines.,"La Fabrik<br/>15 rue Gisquet<br/>93200 Saint Denis","Gare de Saint-Denis (RER D, Ligne H)<br/>Tramway 1 Station Théâtre Gérard Philipe",01 42 43 96 11  info@cafeculturel.org,1998,34mins
CITE DU CINEMA,St Denis,Cinema,un lieu entièrement dédié a la creation du cinéma,20 rue ampère 93200 Saint Denis,,N/A,2012,33mins
COCHENKO,St Denis,"Education, Spectacle Vivant","le Cochenko explore différents espaces en intervenant avec les habitants sur la place publique, lieu de vie et de rencontre, afin de construire des «utopies ordinaires».","4 bis rue Roland Vachette <br/>93200 Saint-Denis",Ligne 13- St.Denis-Porte de Paris,"http://www.cochenko.fr/ <br/>collectif@cochenko.fr<br/>09.54.37.54.09",2007,38mins
LA BRICHE,St Denis,Metiers d'art,Ateliers de créateurs et constructeurs,65 rue Paul Eluard 93200 St Denis,,"brichons@gmail.com<br/>http://bricheforaine.wordpress.com",,35mins
LE LABEX ARTS-H2H,St Denis,Innovation,"Le Labex Arts-H2H se propose d’articuler les recherches en arts (cinéma, arts plastiques, musique, théâtre, danse, littérature, photographie, nouvelles technologies...)","2 rue de la Liberté<br/>93526 St Denis",Line 13-Saint-Denis-Universite,"http://www.labex-arts-h2h.fr/artsh2h@univ-paris8.fr<br/>01 49 40 73 30",N/A,33mins
LE TRANSFO,St Denis,"Musique, Spectacle Vivant, Arts Visuels, Education ","Squat artistique, salle de concert, salle de réunion, espace enfant, espace peinture et banderoles, une cantine et un ciné tournés vers les habitants du quartier, un labo photo, un infokiosque, une bibliothèque technique, un atelier de métallerie, un magasin gratuit","57 avenue de la République, St Denis",Métro Gallieni,www.transfo.squat.net 06 72 53 02 40.,nov. 2012.,50mins
LEDEN,St Denis,Innovation,Orienter les activités de recherche vers les besoins des établissements culturels et éducatifs et des institutions chargées de la diffusion des fonds patrimoniaux,"Maison des Sciences de l’Homme Paris Nord 4 rue de la Croix-Faron<br/>93210 La Plaine saint-Denis",Line 13-Saint-Denis-Universite,contact@leden.org http://leden.org/  01 55 93 93 04,,33mins
LINKFLUENCE FRANCE,St Denis,Innovation,"Social Media Intelligence = capture, sort, analyze, represent social data to create value.","Tour Pleyel<br/>153 Boulevard Anatole France<br/>93200 Saint-Denis",RER B- La Plaine-Stade de France,http://linkfluence.com/,2006,44mins
MUSEE D'ART ET HISTOIRE,St Denis,Musee et Patrimoine,Archéologie et céramiques médiévales. Souvenirs de l'ancien Carmel et de Madame Louise de France. Commune de Paris.,"22 bis rue Gabriel-Péri <br/>93200 Saint-Denis",Saint-Denis - Porte de Paris (13),www.musee-saint-denis.fr,,
PARTI POETIQUE,St Denis,Innovation,"A collection of artists,thinkers and doers united around the thematic question of bees and their surrounding environment.",N/A,N/A,http://www.parti-poetique.org/ contact@parti-poetique.org,N/A,
PLAINE COMMUNE,St Denis,Innovation,"Working on urban large-scale projects, project structuring transport and urban renewal programs promoting the development of urban communitties since its inception.",21 avenue Jules-Rimet Saint Denis,RER B-La Plaine-Stade de France,01 55 93 55 55 http://www.plainecommune.fr/,2003,
SYNESTHESIE,St Denis,"Arts Visuels, Innovation, Education","Galerie d’art virtuel, Revue des arts numériques. ","1 ter Place du Caquet<br/>93200 Saint-Denis","Métro 13 : arrêt Basilique de Saint-Denis<br/>Tram T1 : arrêt basilique Saint-Denis<br/>Bus : 153, 253, arrêt basilique Saint-Denis / Hôtel de ville","01 40 10 80 78<br/>communication@synesthesie.com<br/>www.synesthesie.com",,34mins
T3D MEDICAL,St Denis,Innovation,Present in the electronic sector as well as researching and developing new projects.,"78/80 avenue du Président Wilson<br/>93214 Saint Denis La Plaine",Line 12: Front Popularie,www.t3dmedical.com 0 1 48 20 83 18,2011,30mins
THEATRE GERARD PHILIPE,St Denis,"Spectacle vivant, Musique",theatre,59 bd Jules Guesde - 93207 Saint-Denis cedex,"SNCF H- Saint Denis, Line 13- Saint Denis Basilique, RER D Creil/ Station Saint Denis",http://www.theatregerardphilipe.com/tgp-cdn/ 01 48 13 70 00,1960,35mins
UNIVERSITY PARIS 8,St Denis,"Education, Innovation","psychoanalysis, urban planning, geopolitics, cinema, plastic arts, gender studies, etc.",2 rue de la Liberté - 93526 Saint-Denis,"Ligne 13, Châtillon Montrouge - St-Denis Université, arrêt St-Denis Université  Ligne 1, St-Denis RER/SNCF - Noisy-le-Sec RER, arrêt Marché de St-Denis puis bus 255, arrêt St-Denis Université ou arrêt St-Denis Basilique, puis métro ligne 13, arrêt St-Denis Université<br/>Ligne de Paris-Nord, arrêt Gare de St-Denis, correspondanceavec la ligne d’autobus 255, arrêt St-Denis Université<br/>RER ligne D, Melun/Malesherbes - Orry-la-Ville, arrêt Garede St-Denis, correspondance avec la ligne d’autobus 255, arrêt St-Denis Université",http://www.univ-paris8.fr/ +33(0)1 49 40 67 89,1968,35mins
UNVERSITY PARIS 8,St Denis,Education,"To this day, Université Paris 8 has always insisted on maintaining a strong link between research and teaching, adapting teaching methods to different kinds of audiences, and providing education for all at every stage of life.",2 rue de la Liberté - 93526 Saint-Denis,Line 13- Saint Denis Universite,http://www.univ-paris8.fr/ 33(0)1 49 40 67 89,1969 but 1980(St.Denis),37mins
BRASSERIE DU THEATRE,St Germain-en-Laye,Fooding,French cuisine (brasserie),"13/19 rue de la Salle <br/>78100 SAINT GERMAIN EN LAYE",Station Saint-Germain en Laye (RER A),http://brasseriedutheatre-78100.com/  01 30 61 28 00,1989,48mins
MAINS D'OEUVRES,St Ouen,"Musique, Spectacle Vivant, Arts Visuels,  Education","Centre dédié aux cultures alternatives : Concerts, Performance, Festival, Artistes et Association en résidences",1 rue Charles Garnier - 93400 Saint-Ouen,"M° Porte de Clignancourt (4) ou Garilbaldi (13), Bus 85, Vélib (rue Blanqui)",http://www.mainsdoeuvres.org/article1947.html,,
FABRIQUE DES IMPOSSIBLES,St Ouen,Education,Association promouvant et formant aux pratiques artistiques collaboratives et citoyennes.,1 rue Charles Garnier - 93400 Saint-Ouen,"M° Porte de Clignancourt (4) ou Garilbaldi (13), Bus 85, Vélib (rue Blanqui)",http://www.mainsdoeuvres.org/article1947.html,,
FESTIVAL DES PUCES,St Ouen,Musique,jazz music festival,,Gare de Villepinte jusqu'a Tennis,www.festivaldespuces.com,,51mins
ATLAS,St Ouen,Innovation,centre municipal de culture scientifique,7 rue de l’Union st.ouen,"métro : ligne 13, direction Saint-Denis, station Mairie de Saint-Ouen<br/>bus : ligne 85, terminus Mairie de Saint-Ouen et ligne 166, arrêt rue de l’Union",http://atlas93.wordpress.com/  01 71 86 63 40,,31mins
ESPACE 1789,St Ouen,"Cinema, Spectacle Vivant, Education",lieu de création et de diffusion artistique,"4/6 rue Alexandre Bachelet<br/>93400 –Saint-Ouen",Line 4; Porte de clingancourt,http://www.espace-1789.com/,,40mins
LE CHÂTEAU,St Ouen,Arts Visuels,Le Château présente des expositions monographiques,12 rue Albert Dhalenne 93400 Saint-Ouen,"En métro<br/>- ligne 13, station Garibaldi<br/>puis 5 minutes à pied<br/>- ligne 4, station Pte de Clignancourt, puis bus 85<br/>En bus<br/>ligne 85 ou 187 arrêt Ernest-Renan<br/>En RER<br/>ligne C station Saint-Ouen puis bus 173 ou 174 {Mairie de Saint-Ouen}",http://www.saint-ouen.fr/sorties-et-loisirs/culture/lieux-culturels/espaces-d-expositions/ 01 49 48 95 25,1989,1h04
MAINS D'OEUVRE,St Ouen,"Arts Visuels, Spectacle Vivant, Musique, Education","Lieu de création et de diffusion, de recherche et d’expérience destiné à accueillir des artistes de toutes disciplines, des démarches associatives et citoyennes,","1, rue Charles Garnier - 93400 Saint-Ouen",metro: ligne 13 or 4 bus 85 ou noctilien 14 velib,www.mainsdoeuvres.org 01 40 11 25 25 info@mainsdoeuvres.org,2005,33mins
ABBAYE DE MAUBUISSON,St Ouen-l'Aumône,Arts Visuels,site d'art contemporain,"Rue Richard-de-Tour<br/>Saint-Ouen-l'Aumône<br/>95310","REC C > direction Pontoise > descendre à la gare de Saint-Ouen-l'Aumône (après Saint-Ouen-l'Aumône/Liesse) puis marcher 10 mn à pied en suivant la rue Guy-Sourcis Depuis Cergy-Pontoise, bus 56, 57, 58 ou 34 sud > <br/>arrêt mairie de Saint-Ouen-l'Aumône puis marcher 10 mn à pied en suivant la rue Guy-Sourcis",00 33 (0)1 34 64 36 10 www.valdoise.fr abbaye.maubuisson@valdoise.fr,1987,1h04
THEATRE DE SAINT-QUENTIN-EN-YVELINES,St Quentin,"Musique, Spectacle Vivant","Le Théâtre de Saint- Quentin-en-Yvelines, Scène nationale est un des lieux de diffusion et de création artistique majeurs de la région parisienne.","Place Georges Pompidou - CS 80317<br/>78054 Saint Quentin en Yvelines Cedex","RER Ligne C, arrêt gare de Saint-Quentin-en-Yvelines.Depuis la gare Montparnasse (ligne Montparnasse-Rambouillet). Arrêt gare de Saint-Quentin-en-Yvelines.<br/>Depuis La Défense (ligne La Défense-La Verrière). Arrêt gare de Saint-Quentin-en-Yvelines.","http://www.theatresqy.org/ 01 30 96 99 00 administration tél. : 01 30 96 99 30<br/>Mail:administration@tsqy.org<br/>accueil billetterie Tél. : 01 30 96 99 00 Mail : accueil@tsqy.org",1960,1h10mins
STUDIO THEATRE DE STAINS,Stains,Spectacle Vivant,,"19, rue Carnot<br/>93240 Stains","Navette<br/>Une navette aller-retour gratuite est à disposition les soirs de représentation Ligne 13 Station Saint-Denis Université puis Bus 253 ou 255 Direction Stains, arrêt Mairie de Stains. Ligne D, arrêt Pierrefitte/Stains puis bus 150, arrêt Mairie de Stains<br/>Ligne B, arrêt La Courneuve puis bus 150, arrêt Mairie de Stains",www.studiotheatrestains.fr/‎ 01 48 23 06 61,1984,
THEATRE DE SURESNES,Suresnes,Spectacle Vivant,,"16 Place Stalingrad, 92150 Suresnes","Navette gratuite* Paris – Suresnes – Paris<br/>De Paris à Suresnes<br/>• départ de la navette : 45 mn précises avant l’heure de la représentation, à l’angle de l’avenue Hoche et de la place Charles de Gaulle-Etoile, à proximité du métro et du RER (pour une représentation à 21h, départ de la navette à 20h15).<br/>• arrêt à Suresnes : arrêt du bus bd Henri Sellier, pour les Suresnois et les usagers du Tram (Val-de-Seine, gare Suresnes-Longchamp), 25 mn précises avant l’heure de la représentation. <br/>NB : la navette du Théâtre ne fonctionne ni pour les spectacles Jeune Public, ni pour les rencontres autour des spectacles (répétitions publiques…)",01 46 97 98 10 www.theatre-suresnes.fr/‎,1938 nouveau thatre était inaugree en 1990.,47mins
CENTRE CULTUREL DE TAVERNY,Taverny,"Arts Visuels, Education",centre culturel,191 rue de Paris 95150 Taverny,,"01.39.60.42.49<br/>mlc.taverny@free.fr   http://www.ville-taverny.fr/fr/sortir-loisirs/culture/le-centre-culturel",,1hr 06mins
RHIZOME,Torcy,"Arts Visuels, Spectacle Vivant, Education",Pôle d'arts plastiques et visuels de la MJC. Il a pour mission de rendre accessible les arts plastiques et visuels et plus largement l’art contemporain.,"Ferme du Couvent - 22 rue du Couvent, 77200 Torcy, France","Prendre la ligne A Direction Chessy / Marne la Vallée<br/>Descendre à la station ""Torcy"", puis Prendre le bus 220 (arrêt Mairie / Place de l'Eglise) puis 5 min. de marche. Ou , prendre le bus 421 (arrêt Clos / Ferme du Couvent)",01 60 05 14 69 – Courriel : rhizomemjc@gmail.com http://www.rhizome.fr/,n/a,42mins
